State,Year,Party,Candidate,Votes
AK,2024,Republican,Trump,184204
AK,2024,Democrat,Harris,139812
AK,2024,Third Party,All Others,13717
AL,2024,Republican,Trump,1457704
AL,2024,Democrat,Harris,769391
AL,2024,Third Party,All Others,21242
AR,2024,Republican,Trump,758057
AR,2024,Democrat,Harris,395855
AR,2024,Third Party,All Others,26467
AZ,2024,Republican,Trump,1770242
AZ,2024,Democrat,Harris,1582860
AZ,2024,Third Party,All Others,36217
CA,2024,Republican,Trump,5938601
CA,2024,Democrat,Harris,9123913
CA,2024,Third Party,All Others,494205
CO,2024,Republican,Trump,1377078
CO,2024,Democrat,Harris,1727603
CO,2024,Third Party,All Others,85242
CT,2024,Republican,Trump,739317
CT,2024,Democrat,Harris,994287
CT,2024,Third Party,All Others,29515
DC,2024,Republican,Trump,20888
DC,2024,Democrat,Harris,289453
DC,2024,Third Party,All Others,2755
DE,2024,Republican,Trump,214184
DE,2024,Democrat,Harris,289585
DE,2024,Third Party,All Others,7584
FL,2024,Republican,Trump,6109549
FL,2024,Democrat,Harris,4680890
FL,2024,Third Party,All Others,100305
GA,2024,Republican,Trump,2663117
GA,2024,Democrat,Harris,2548017
GA,2024,Third Party,All Others,38913
HI,2024,Republican,Trump,193169
HI,2024,Democrat,Harris,312384
HI,2024,Third Party,All Others,9955
IA,2024,Republican,Trump,927531
IA,2024,Democrat,Harris,707290
IA,2024,Third Party,All Others,22631
ID,2024,Republican,Trump,605144
ID,2024,Democrat,Harris,274973
ID,2024,Third Party,All Others,24593
IL,2024,Republican,Trump,2444517
IL,2024,Democrat,Harris,3056201
IL,2024,Third Party,All Others,80143
IN,2024,Republican,Trump,1715058
IN,2024,Democrat,Harris,1160146
IN,2024,Third Party,All Others,49586
KS,2024,Republican,Trump,741949
KS,2024,Democrat,Harris,532475
KS,2024,Third Party,All Others,23243
KY,2024,Republican,Trump,1336230
KY,2024,Democrat,Harris,700921
KY,2024,Third Party,All Others,31714
LA,2024,Republican,Trump,1208269
LA,2024,Democrat,Harris,766424
LA,2024,Third Party,All Others,31588
MA,2024,Republican,Trump,1234961
MA,2024,Democrat,Harris,2072571
MA,2024,Third Party,All Others,74037
MD,2024,Republican,Trump,1026135
MD,2024,Democrat,Harris,1857794
MD,2024,Third Party,All Others,75637
ME,2024,Republican,Trump,374972
ME,2024,Democrat,Harris,430795
ME,2024,Third Party,All Others,20890
MI,2024,Republican,Trump,2804647
MI,2024,Democrat,Harris,2724029
MI,2024,Third Party,All Others,110025
MN,2024,Republican,Trump,1656968
MN,2024,Democrat,Harris,1519017
MN,2024,Third Party,All Others,64902
MO,2024,Republican,Trump,1750987
MO,2024,Democrat,Harris,1199856
MO,2024,Third Party,All Others,40999
MS,2024,Republican,Trump,708302
MS,2024,Democrat,Harris,429231
MS,2024,Third Party,All Others,12943
MT,2024,Republican,Trump,351945
MT,2024,Democrat,Harris,231761
MT,2024,Third Party,All Others,18970
NC,2024,Republican,Trump,2898428
NC,2024,Democrat,Harris,2715380
NC,2024,Third Party,All Others,65850
ND,2024,Republican,Trump,246505
ND,2024,Democrat,Harris,112327
ND,2024,Third Party,All Others,6227
NE,2024,Republican,Trump,564340
NE,2024,Democrat,Harris,369687
NE,2024,Third Party,All Others,12334
NH,2024,Republican,Trump,395578
NH,2024,Democrat,Harris,418496
NH,2024,Third Party,All Others,8079
NJ,2024,Republican,Trump,1966571
NJ,2024,Democrat,Harris,2218076
NJ,2024,Third Party,All Others,83694
NM,2024,Republican,Trump,423327
NM,2024,Democrat,Harris,478727
NM,2024,Third Party,All Others,21234
NV,2024,Republican,Trump,751205
NV,2024,Democrat,Harris,705197
NV,2024,Third Party,All Others,28438
NY,2024,Republican,Trump,3484068
NY,2024,Democrat,Harris,4413528
NY,2024,Third Party,All Others,0
OH,2024,Republican,Trump,3121077
OH,2024,Democrat,Harris,2481269
OH,2024,Third Party,All Others,40127
OK,2024,Republican,Trump,1036213
OK,2024,Democrat,Harris,499599
OK,2024,Third Party,All Others,30361
OR,2024,Republican,Trump,909706
OR,2024,Democrat,Harris,1227168
OR,2024,Third Party,All Others,52096
PA,2024,Republican,Trump,3542701
PA,2024,Democrat,Harris,3421247
PA,2024,Third Party,All Others,67822
RI,2024,Republican,Trump,213021
RI,2024,Democrat,Harris,282110
RI,2024,Third Party,All Others,7850
SC,2024,Republican,Trump,1483747
SC,2024,Democrat,Harris,1028452
SC,2024,Third Party,All Others,20786
SD,2024,Republican,Trump,272081
SD,2024,Democrat,Harris,146859
SD,2024,Third Party,All Others,9982
TN,2024,Republican,Trump,1964593
TN,2024,Democrat,Harris,1055170
TN,2024,Third Party,All Others,30465
TX,2024,Republican,Trump,6375376
TX,2024,Democrat,Harris,4806474
TX,2024,Third Party,All Others,150564
UT,2024,Republican,Trump,883799
UT,2024,Democrat,Harris,562560
UT,2024,Third Party,All Others,25304
VA,2024,Republican,Trump,2011637
VA,2024,Democrat,Harris,2235958
VA,2024,Third Party,All Others,67772
VT,2024,Republican,Trump,119395
VT,2024,Democrat,Harris,235791
VT,2024,Third Party,All Others,7733
WA,2024,Republican,Trump,1522988
WA,2024,Democrat,Harris,2238564
WA,2024,Third Party,All Others,84138
WI,2024,Republican,Trump,1697298
WI,2024,Democrat,Harris,1667881
WI,2024,Third Party,All Others,49294
WV,2024,Republican,Trump,533556
WV,2024,Democrat,Harris,214309
WV,2024,Third Party,All Others,14525
WY,2024,Republican,Trump,192633
WY,2024,Democrat,Harris,69527
WY,2024,Third Party,All Others,4193
